iter	Passed	Remaining
0	22	68520
1	44	65966
2	65	65836
3	87	65651
4	109	65698
5	131	65573
6	152	65342
7	170	63874
8	187	62455
9	204	61065
10	221	60270
11	238	59386
12	254	58419
13	269	57425
14	293	58360
15	317	59164
16	341	59861
17	364	60359
18	388	60974
19	408	60879
20	424	60288
21	442	59944
22	459	59432
23	476	59089
24	493	58723
25	511	58455
26	528	58185
27	545	57914
28	562	57627
29	578	57272
30	595	57044
31	612	56828
32	629	56640
33	647	56460
34	664	56284
35	681	56071
36	698	55945
37	715	55795
38	732	55610
39	747	55342
40	765	55215
41	782	55113
42	800	55016
43	816	54849
44	833	54713
45	850	54593
46	867	54476
47	883	54350
48	899	54175
49	913	53873
50	926	53569
51	939	53280
52	953	53030
53	968	52818
54	982	52589
55	996	52393
56	1010	52180
57	1024	51948
58	1038	51780
59	1053	51628
60	1067	51432
61	1082	51294
62	1099	51260
63	1116	51231
64	1134	51204
65	1150	51151
66	1167	51115
67	1184	51087
68	1200	51013
69	1218	50983
70	1235	50981
71	1250	50852
72	1265	50726
73	1279	50596
74	1295	50515
75	1311	50453
76	1327	50392
77	1345	50388
78	1362	50377
79	1379	50361
80	1396	50326
81	1413	50304
82	1431	50293
83	1447	50264
84	1465	50243
85	1482	50229
86	1499	50215
87	1515	50134
88	1529	50033
89	1544	49922
90	1560	49899
91	1578	49895
92	1595	49870
93	1613	49878
94	1631	49877
95	1648	49880
96	1665	49853
97	1682	49809
98	1701	49860
99	1719	49862
100	1743	50034
101	1760	50006
102	1776	49971
103	1794	49981
104	1811	49947
105	1829	49960
106	1845	49892
107	1862	49865
108	1877	49788
109	1895	49794
110	1912	49788
111	1931	49805
112	1949	49806
113	1967	49808
114	1985	49810
115	2002	49780
116	2020	49782
117	2038	49784
118	2056	49781
119	2074	49780
120	2091	49762
121	2109	49755
122	2124	49696
123	2139	49625
124	2147	49396
125	2162	49330
126	2177	49263
127	2192	49196
128	2207	49135
129	2224	49116
130	2242	49110
131	2261	49135
132	2279	49141
133	2297	49136
134	2314	49117
135	2330	49069
136	2345	49012
137	2361	48976
138	2378	48959
139	2395	48937
140	2412	48923
141	2429	48907
142	2446	48880
143	2463	48852
144	2479	48815
145	2496	48795
146	2513	48775
147	2530	48756
148	2547	48736
149	2563	48715
150	2580	48695
151	2592	48583
152	2609	48563
153	2627	48558
154	2644	48546
155	2661	48530
156	2678	48501
157	2694	48464
158	2710	48437
159	2728	48429
160	2744	48403
161	2761	48385
162	2778	48358
163	2794	48332
164	2811	48313
165	2828	48291
166	2845	48265
167	2862	48249
168	2879	48229
169	2895	48206
170	2911	48174
171	2935	48262
172	2958	48342
173	2982	48441
174	3005	48525
175	3030	48630
176	3054	48717
177	3072	48713
178	3088	48680
179	3106	48669
180	3123	48645
181	3140	48627
182	3157	48610
183	3174	48586
184	3191	48558
185	3208	48545
186	3225	48521
187	3242	48499
188	3260	48486
189	3277	48467
190	3294	48446
191	3311	48430
192	3328	48407
193	3345	48384
194	3362	48370
195	3379	48352
196	3397	48340
197	3411	48277
198	3426	48227
199	3440	48169
200	3457	48146
201	3475	48139
